2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:51 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:15:52 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:15:53 | INFO     | voice_assistant.websocket | flush:440 | 📝 Transcript segment saved (26 chars) for CallSid=2181c5dd06d6d1dc8b2f035b7f2119ai
2025-10-18 19:15:53 | INFO     | voice_assistant.websocket | run_voice_session:1636 | 📝 Transcript (CLAUDE_CHAT): என்னால இப்ப பண்ண முடியாது.
2025-10-18 19:15:53 | INFO     | voice_assistant.websocket | run_voice_session:1639 | 🌐 Switching customer language en-IN → ta-IN
2025-10-18 19:15:53 | INFO     | voice_assistant.websocket | handle_claude_exchange:1474 | 🚫 Customer refusal detected (count=1)
2025-10-18 19:15:56 | INFO     | voice_assistant.websocket | flush:440 | 📝 Transcript segment saved (134 chars) for CallSid=2181c5dd06d6d1dc8b2f035b7f2119ai
2025-10-18 19:15:56 | INFO     | voice_assistant.websocket | flush:440 | 📝 Transcript segment saved (119 chars) for CallSid=2181c5dd06d6d1dc8b2f035b7f2119ai
2025-10-18 19:15:57 | INFO     | voice_assistant.websocket | stream_audio_to_websocket:650 | 📡 Streaming 91394 bytes over websocket in 286 chunks (streamSid=750b8a77980aa64c77beb772bd3a19ai)
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | stream_audio_to_websocket:709 | ✅ Completed audio stream over websocket
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-10-18 19:16:04 | INFO     | voice_assistant.websocket | run_voice_session:1571 | 📨 Event received: media
